"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AQUIFEX_00222",211.219155015104,0.00151736202660392,0.156339899071401,0.00970553285256335,0.992256226756609,0.998912159871704
"AQUIFEX_00223",227.70549577501,0.102767896203021,0.151612013945839,0.677834780558568,0.497876455853092,0.998912159871704
"AQUIFEX_00224",95.3792236538935,0.0467424098495902,0.236562826326691,0.197589835120753,0.843365988409005,0.998912159871704
"AQUIFEX_00225",97.8670689014745,-0.116303479488078,0.233164344168104,-0.498804737504061,0.61791694975349,0.998912159871704
"AQUIFEX_00226",165.276857298814,-0.11185860020348,0.180770084401236,-0.618789334385659,0.536055149365152,0.998912159871704
"AQUIFEX_00227",242.692295430746,-0.105542443463359,0.154514472128482,-0.683058628809848,0.494569796168872,0.998912159871704
"AQUIFEX_00228",81.3985447197296,0.0367856310963151,0.256800882962425,0.143245734484868,0.88609611133435,0.998912159871704
"AQUIFEX_00229",235.193630435925,-0.115022813633351,0.149863029211595,-0.767519609329045,0.442772638854439,0.998912159871704
"AQUIFEX_00230",127.586973521055,0.142752777044795,0.206719136540901,0.690563918916869,0.489839628433121,0.998912159871704
"AQUIFEX_00231",3.99428484156892,-0.735481236105698,0.99056004936146,-0.742490307962458,0.457790321853094,0.998912159871704
"AQUIFEX_00232",257.158690270137,0.0856086645211257,0.146659790388684,0.583722807009624,0.559406820303939,0.998912159871704
"AQUIFEX_00233",284.373845989718,-0.107509391155427,0.137342489746637,-0.782783182056447,0.433754445220051,0.998912159871704
"AQUIFEX_00234",354.539600999117,-0.0798614589934569,0.125633683527883,-0.635669167303629,0.524992076755471,0.998912159871704
"AQUIFEX_00235",109.350632312406,-0.090707906345722,0.22298292069045,-0.406793067670168,0.684159978704198,0.998912159871704
"AQUIFEX_00236",0,NA,NA,NA,NA,NA
"AQUIFEX_00237",132.580191680354,0.0721061826431315,0.200905896851832,0.358905257501276,0.71966596640473,0.998912159871704
"AQUIFEX_00238",99.8617519074649,0.00161873087350391,0.238079954764103,0.00679910610327439,0.994575140009566,0.998912159871704
"AQUIFEX_00239",257.926828423721,0.00417449912056145,0.150613911103044,0.0277165574546791,0.977888217837573,0.998912159871704
"AQUIFEX_00240",102.104869023201,-0.345785885716297,0.231372215408702,-1.49450047450811,0.135044857987695,0.998912159871704
"AQUIFEX_00241",93.8752864958494,0.0168685970915396,0.236634515956006,0.0712854463491529,0.943170577891678,0.998912159871704
"AQUIFEX_00242",201.735559527737,0.130171583851602,0.161543108804811,0.805800908591439,0.420357654088358,0.998912159871704
"AQUIFEX_00243",318.578393460374,0.101083354727146,0.136707833627151,0.73941157609764,0.459657115067096,0.998912159871704
"AQUIFEX_00244",81.8909129662568,-0.104123321190281,0.252928367022135,-0.411671187444028,0.680580446193909,0.998912159871704
"AQUIFEX_00245",217.202809126599,-0.217794565414097,0.15594386609413,-1.39662155921306,0.162527403622511,0.998912159871704
"AQUIFEX_00246",237.207042917927,0.0378053887427775,0.158005440686487,0.239266373224392,0.810899038479807,0.998912159871704
"AQUIFEX_00247",150.054080898944,-0.0994175013490809,0.187047727204019,-0.531508737556821,0.595066288084524,0.998912159871704
"AQUIFEX_00248",242.929997357758,0.0282007166866536,0.152002173202314,0.185528378262847,0.852814623982568,0.998912159871704
"AQUIFEX_00249",349.542486319022,0.0344714332933415,0.125592999071717,0.274469385619635,0.78372392729717,0.998912159871704
